"Name","Pos","Team","Week","Date","Opp","Home","Result","Score","Played","Started","RushAtt","RushYds","RushLong","RushTDs","Receptions","RecYds","RecLong","RecTDs","FumLost"
"Dion Lewis","RB","NE",8,"10/29","LAC",1,"W","21-13",1,1,15,44,"10",0,2,10,"11",0,0
"Dion Lewis","RB","NE",10,"11/12","DEN",0,"W","41-16",1,1,14,55,"9",1,0,0,"0",0,0
"Dion Lewis","RB","NE",11,"11/19","OAK",0,"W","33-8",1,1,10,60,"20",0,4,28,"15T",1,0
"Dion Lewis","RB","NE",12,"11/26","MIA",1,"W","35-17",1,0,15,112,"25",0,1,1,"1",0,0
"Dion Lewis","RB","NE",13,"12/03","BUF",0,"W","23-3",1,0,15,92,"44",0,0,0,"0",0,0
"Dion Lewis","RB","NE",14,"12/11","MIA",0,"L","20-27",1,0,5,17,"11",0,5,50,"20",0,0
"Dion Lewis","RB","NE",15,"12/17","PIT",0,"W","27-24",1,1,13,67,"12",1,1,13,"13",0,0
"Dion Lewis","RB","NE",16,"12/24","BUF",1,"W","37-16",1,1,24,129,"16",1,5,24,"12T",1,0
"Dion Lewis","RB","NE",17,"12/31","NYJ",1,"W","26-6",1,1,26,93,"17",1,6,40,"10",1,0
"Marshawn Lynch","RB","OAK",1,"09/10","TEN",0,"W","26-16",1,1,18,76,"14",0,1,16,"16",0,0
"Marshawn Lynch","RB","OAK",2,"09/17","NYJ",1,"W","45-20",1,1,12,45,"13",1,1,4,"4",0,0
"Marshawn Lynch","RB","OAK",3,"09/24","WAS",0,"L","10-27",1,1,6,18,"5",0,1,8,"8",0,0
"Marshawn Lynch","RB","OAK",4,"10/01","DEN",0,"L","10-16",1,1,9,12,"4",0,0,0,"0",0,0
"Marshawn Lynch","RB","OAK",5,"10/08","BAL",1,"L","17-30",1,1,12,43,"9",1,1,10,"10",0,0
"Marshawn Lynch","RB","OAK",6,"10/15","LAC",1,"L","16-17",1,1,13,63,"15",0,0,0,"0",0,0
"Marshawn Lynch","RB","OAK",7,"10/19","KC",1,"W","31-30",1,1,2,9,"6",0,0,0,"0",0,0
"Marshawn Lynch","RB","OAK",9,"11/05","MIA",0,"W","27-24",1,1,14,57,"22T",2,2,6,"5",0,0
"Marshawn Lynch","RB","OAK",11,"11/19","NE",1,"L","8-33",1,1,11,67,"25",0,1,10,"10",0,0
"Marshawn Lynch","RB","OAK",12,"11/26","DEN",1,"W","21-14",1,1,26,67,"7",1,3,43,"25",0,0
